Category|Descript
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LIQUOR LAWS|MISCELLANEOUS LIQOUR LAW VIOLATION
SUSPICIOUS OCC|SUSPICIOUS PERSON
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
FRAUD|FALSE ID TO PEACE OFFICER
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT WITH PRIOR
NON-CRIMINAL|LOCATED PROPERTY
LARCENY/THEFT|THEFT FROM MERCHANT OR LIBRARY
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
OTHER OFFENSES|PROBATION VIOLATION
FRAUD|FALSE PRETENSES, GRAND THEFT
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|EMBEZZLEMENT FROM DEPENDENT OR ELDER ADULT BY CARETAKER
SUSPICIOUS OCC|SUSPICIOUS PERSON
ASSAULT|THREATENING PHONE CALL(S)
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|PEDDLING WITHOUT A LICENSE
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
NON-CRIMINAL|FOUND PROPERTY
NON-CRIMINAL|AIDED CASE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
ASSAULT|THREATS TO SCHOOL TEACHERS
WARRANTS|WARRANT ARREST
EMBEZZLEMENT|EMBEZZLEMENT, PETTY THEFT BY EMPLOYEE
ARSON|ARSON OF A VEHICLE
OTHER OFFENSES|PROBATION VIOLATION
TRESPASS|TRESPASSING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM PERSON
ROBBERY|ROBBERY, BODILY FORCE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
BURGLARY|BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ASSAULT|THREATS AGAINST LIFE
SEX OFFENSES FORCIBLE|FORCIBLE RAPE, BODILY FORCE
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|PROBATION VIOLATION
WEAPON LAWS|VIOLATION OF RESTRICTIONS ON A FIREARM TRANSFER
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
WEAPON LAWS|CARRYING A CONCEALED WEAPON
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT PICKPOCKET
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT FROM PERSON
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT OF PROPERTY
NON-CRIMINAL|LOST PROPERTY
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|WARRANT ARREST
BURGLARY|BURGLARY, UNLAWFUL ENTRY
LARCENY/THEFT|LOST PROPERTY, PETTY THEFT
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
ASSAULT|BATTERY
PROSTITUTION|LOITERING FOR PURPOSE OF PROSTITUTION
ROBBERY|ROBBERY ON THE STREET, STRONGARM
VEHICLE THEFT|STOLEN AUTOMOBILE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM PERSON
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|PETTY THEFT BICYCLE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
ROBBERY|ROBBERY, BODILY FORCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
SUSPICIOUS OCC|SUSPICIOUS PERSON
MISSING PERSON|MISSING JUVENILE
SEX OFFENSES FORCIBLE|FORCIBLE RAPE, BODILY FORCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM PERSON
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT FROM PERSON
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN TRUCK
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|TRAFFIC VIOLATION
DISORDERLY CONDUCT|COMMITTING PUBLIC NUISANCE
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
LARCENY/THEFT|PETTY THEFT OF PROPERTY
SECONDARY CODES|DOMESTIC VIOLENCE
ASSAULT|AGGRAVATED ASSAULT WITH A GUN
BURGLARY|BURGLARY OF STORE, FORCIBLE ENTRY
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
MISSING PERSON|FOUND PERSON
EXTORTION|ATTEMPTED EXTORTION
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT WITH PRIOR
WARRANTS|WARRANT ARREST
WARRANTS|WARRANT ARREST
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|TRAFFIC VIOLATION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
FORGERY/COUNTERFEITING|FORGERY, NOTES
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|WARRANT ARREST
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
LARCENY/THEFT|GRAND THEFT FROM PERSON
WARRANTS|WARRANT ARREST
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
FORGERY/COUNTERFEITING|CHECKS, FORGERY (FELONY)
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
OTHER OFFENSES|HARASSING PHONE CALLS
OTHER OFFENSES|PAROLE VIOLATION
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|VEHICLE, RECOVERED, MOTORCYCLE
MISSING PERSON|MISSING JUVENILE
ASSAULT|BATTERY
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|FOUND PROPERTY
FRAUD|ACCESS CARD INFORMATION, THEFT OF
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
MISSING PERSON|MISSING JUVENILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|POST RELEASE COMMUNITY SUPERVISION
MISSING PERSON|MISSING ADULT
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
VANDALISM|VANDALISM OR GRAFFITI TOOLS, POSSESSION
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|CONTRIBUTING TO THE DELINQUENCY OF MINOR
SECONDARY CODES|DOMESTIC VIOLENCE
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
TRESPASS|TRESPASSING
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WARRANTS|WARRANT ARREST
FRAUD|FRAUDULENT USE OF AUTOMATED TELLER CARD
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
MISSING PERSON|MISSING ADULT
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
ROBBERY|ATTEMPTED ROBBERY WITH A GUN
ASSAULT|BATTERY
ASSAULT|BATTERY
NON-CRIMINAL|LOST PROPERTY
ROBBERY|ROBBERY ON THE STREET WITH A GUN
ROBBERY|ROBBERY ON THE STREET WITH A GUN
WEAPON LAWS|SWITCHBLADE KNIFE, POSSESSION
WARRANTS|WARRANT ARREST
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VANDALISM|MALICIOUS MISCHIEF
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|MISCELLANEOUS STATE MISDEMEANOR
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|FALSE PERSONATION
OTHER OFFENSES|PROBATION VIOLATION
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
DRUG/NARCOTIC|CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
NON-CRIMINAL|PROPERTY FOR IDENTIFICATION
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|CASE CLOSURE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
TRESPASS|TRESPASSING
TRESPASS|TRESPASSING
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
NON-CRIMINAL|FOUND PROPERTY
WARRANTS|PROBATION SEARCH
NON-CRIMINAL|AIDED CASE, DOG BITE
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|PERMIT VIOLATION, POLICE (GENERAL)
ARSON|ARSON
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|PAROLE VIOLATION
ASSAULT|BATTERY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
DRUG/NARCOTIC|POSSESSION OF HEROIN FOR SALES
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE FOR SALE
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
SECONDARY CODES|DOMESTIC VIOLENCE
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|TRAFFIC VIOLATION
MISSING PERSON|FOUND PERSON
NON-CRIMINAL|LOST PROPERTY
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
BURGLARY|BURGLARY, FORCIBLE ENTRY
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
ASSAULT|THREATS AGAINST LIFE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
BURGLARY|BURGLARY, HOT PROWL, UNLAWFUL ENTRY
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
ASSAULT|THREATS AGAINST LIFE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ASSAULT|THREATENING PHONE CALL(S)
LARCENY/THEFT|PETTY THEFT OF PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|VIOLATION OF MUNICIPAL POLICE CODE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
ASSAULT|ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
MISSING PERSON|MISSING ADULT
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
DRUG/NARCOTIC|POSSESSION OF COCAINE
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
NON-CRIMINAL|CIVIL SIDEWALKS, WARNING
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
SUSPICIOUS OCC|SUSPICIOUS PERSON
OTHER OFFENSES|CONSPIRACY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|VIOLATION OF MUNICIPAL POLICE CODE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY, HOT PROWL, UNLAWFUL ENTRY
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|OPERATING TAXI WITHOUT A PERMIT
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|FAILURE TO REGISTER AS SEX OFFENDER
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ASSAULT|CHILD ABUSE (PHYSICAL)
ROBBERY|ATTEMPTED ROBBERY WITH BODILY FORCE
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
WEAPON LAWS|POSS OF LOADED FIREARM
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
WARRANTS|WARRANT ARREST
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
ROBBERY|ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN
NON-CRIMINAL|LOST PROPERTY
VANDALISM|VANDALISM OR GRAFFITI TOOLS, POSSESSION
DRUG/NARCOTIC|POSSESSION OF HEROIN
STOLEN PROPERTY|STOLEN COMPUTER, POSSESSION
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
SUSPICIOUS OCC|SUSPICIOUS PERSON
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
ASSAULT|BATTERY
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
BURGLARY|BURGLARY OF FLAT, UNLAWFUL ENTRY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|PROBATION VIOLATION
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
OTHER OFFENSES|PAROLE VIOLATION
ASSAULT|CHILD ABUSE (PHYSICAL)
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
MISSING PERSON|MISSING JUVENILE
OTHER OFFENSES|OPEN CONTAINER OF ALCOHOL IN VEHICLE
NON-CRIMINAL|AIDED CASE, INJURED PERSON
OTHER OFFENSES|RESISTING ARREST
MISSING PERSON|MISSING JUVENILE
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|BATTERY
ASSAULT|BATTERY
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
MISSING PERSON|FOUND PERSON
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
ROBBERY|ROBBERY ON THE STREET WITH A KNIFE
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY, HOT PROWL, UNLAWFUL ENTRY
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ASSAULT|THREATS AGAINST LIFE
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
ASSAULT|BATTERY
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
DRUG/NARCOTIC|MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
OTHER OFFENSES|HARASSING PHONE CALLS
PROSTITUTION|SOLICITS TO VISIT HOUSE OF PROSTITUTION
NON-CRIMINAL|LOST PROPERTY
TRESPASS|TRESPASSING
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
WARRANTS|WARRANT ARREST
NON-CRIMINAL|FOUND PROPERTY
ARSON|ARSON OF AN INHABITED DWELLING
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
SECONDARY CODES|GANG ACTIVITY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|FOUND PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
MISSING PERSON|MISSING ADULT
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF MARIJUANA FOR SALES
WARRANTS|WARRANT ARREST
ROBBERY|ROBBERY OF A RESIDENCE WITH A KNIFE
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
MISSING PERSON|FOUND PERSON
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
OTHER OFFENSES|TRAFFIC VIOLATION
ASSAULT|BATTERY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|MISCELLANEOUS STATE FELONY
ROBBERY|ROBBERY ON THE STREET WITH A GUN
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
ROBBERY|ROBBERY ON THE STREET WITH A DANGEROUS WEAPON
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|INJURY TO TELEGRAPH/TELEPHONE LINES
ASSAULT|ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN AND RECOVERED VEHICLE
NON-CRIMINAL|CASE CLOSURE
WARRANTS|WARRANT ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
LARCENY/THEFT|GRAND THEFT FROM PERSON
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|PAROLE VIOLATION
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
